File,Function,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD
E:\LiberoProjects\HSM\HSM\mbedtls\library\cipher.c,mbedtls_cipher_reset( mbedtls_cipher_context_t *ctx ),7,5,4,3,2,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\cipher.c,"mbedtls_cipher_update_ad( mbedtls_cipher_context_t *ctx, const unsigned char *ad, size_t ad_len )",11,9,5,5,2,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\cipher.c,"mbedtls_cipher_update( mbedtls_cipher_context_t *ctx, const unsigned char *input, size_t ilen, unsigned char *output, size_t *olen )",180,134,65,41,34,4,12,40,
E:\LiberoProjects\HSM\HSM\mbedtls\library\cipher.c,"add_pkcs_padding( unsigned char *output, size_t output_len, size_t data_len )",6,5,4,1,1,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\cipher.c,"get_pkcs_padding( unsigned char *input, size_t input_len, size_t *data_len )",21,13,11,4,5,0,3,33,
E:\LiberoProjects\HSM\HSM\mbedtls\library\cipher.c,"add_one_and_zeros_padding( unsigned char *output, size_t output_len, size_t data_len )",7,6,5,1,1,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\cipher.c,"get_one_and_zeros_padding( unsigned char *input, size_t input_len, size_t *data_len )",19,15,12,4,4,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\cipher.c,"add_zeros_and_len_padding( unsigned char *output, size_t output_len, size_t data_len )",7,6,5,1,1,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\cipher.c,"get_zeros_and_len_padding( unsigned char *input, size_t input_len, size_t *data_len )",20,13,11,4,5,0,2,21,
E:\LiberoProjects\HSM\HSM\mbedtls\library\cipher.c,"add_zeros_padding( unsigned char *output, size_t output_len, size_t data_len )",5,4,3,1,1,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\cipher.c,"get_zeros_padding( unsigned char *input, size_t input_len, size_t *data_len )",16,13,10,4,3,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\cipher.c,"get_no_padding( unsigned char *input, size_t input_len, size_t *data_len )",7,5,4,3,2,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\cipher.c,"mbedtls_cipher_finish( mbedtls_cipher_context_t *ctx, unsigned char *output, size_t *olen )",75,54,25,23,13,1,8,40,
E:\LiberoProjects\HSM\HSM\mbedtls\library\cipher.c,"mbedtls_cipher_set_padding_mode( mbedtls_cipher_context_t *ctx, mbedtls_cipher_padding_t mode )",43,40,21,10,3,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\cipher.c,"mbedtls_cipher_write_tag( mbedtls_cipher_context_t *ctx, unsigned char *tag, size_t tag_len )",11,8,5,7,3,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\cipher.c,"mbedtls_cipher_check_tag( mbedtls_cipher_context_t *ctx, const unsigned char *tag, size_t tag_len )",35,26,15,12,8,0,1,6,
E:\LiberoProjects\HSM\HSM\mbedtls\library\cipher.c,"mbedtls_cipher_crypt( mbedtls_cipher_context_t *ctx, const unsigned char *iv, size_t iv_len, const unsigned char *input, size_t ilen, unsigned char *output, size_t *olen )",19,13,9,9,6,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\cipher.c,"mbedtls_cipher_auth_encrypt( mbedtls_cipher_context_t *ctx, const unsigned char *iv, size_t iv_len, const unsigned char *ad, size_t ad_len, const unsigned char *input, size_t ilen, unsigned char *output, size_t *olen, unsigned char *tag, size_t tag_len )",21,20,8,5,1,2,0,4,
E:\LiberoProjects\HSM\HSM\mbedtls\library\cipher.c,"mbedtls_cipher_auth_decrypt( mbedtls_cipher_context_t *ctx, const unsigned char *iv, size_t iv_len, const unsigned char *ad, size_t ad_len, const unsigned char *input, size_t ilen, unsigned char *output, size_t *olen, const unsigned char *tag, size_t tag_len )",35,28,14,7,7,2,0,4,
E:\LiberoProjects\HSM\HSM\mbedtls\library\cipher_wrap.c,gcm_ctx_alloc( void ),7,5,4,2,2,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\cipher_wrap.c,gcm_ctx_free( void *ctx ),3,3,3,0,0,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\cipher_wrap.c,ccm_ctx_alloc( void ),7,5,4,2,2,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\cipher_wrap.c,ccm_ctx_free( void *ctx ),3,3,3,0,0,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\cipher_wrap.c,"aes_crypt_ecb_wrap( void *ctx, mbedtls_operation_t operation, const unsigned char *input, unsigned char *output )",2,2,2,1,0,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\cipher_wrap.c,"aes_crypt_cbc_wrap( void *ctx, mbedtls_operation_t operation, size_t length, unsigned char *iv, const unsigned char *input, unsigned char *output )",3,3,2,1,0,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\cipher_wrap.c,"aes_crypt_cfb128_wrap( void *ctx, mbedtls_operation_t operation, size_t length, size_t *iv_off, unsigned char *iv, const unsigned char *input, unsigned char *output )",3,3,2,1,0,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\cipher_wrap.c,"aes_crypt_ctr_wrap( void *ctx, size_t length, size_t *nc_off, unsigned char *nonce_counter, unsigned char *stream_block, const unsigned char *input, unsigned char *output )",3,3,2,1,0,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\cipher_wrap.c,"aes_setkey_dec_wrap( void *ctx, const unsigned char *key, unsigned int key_bitlen )",2,2,2,1,0,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\cipher_wrap.c,"aes_setkey_enc_wrap( void *ctx, const unsigned char *key, unsigned int key_bitlen )",2,2,2,1,0,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\cipher_wrap.c,aes_ctx_alloc( void ),9,6,5,3,3,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\cipher_wrap.c,aes_ctx_free( void *ctx ),3,3,3,0,0,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\cipher_wrap.c,"gcm_aes_setkey_wrap( void *ctx, const unsigned char *key, unsigned int key_bitlen )",3,3,2,1,0,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\cipher_wrap.c,"ccm_aes_setkey_wrap( void *ctx, const unsigned char *key, unsigned int key_bitlen )",3,3,2,1,0,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\cipher_wrap.c,"camellia_crypt_ecb_wrap( void *ctx, mbedtls_operation_t operation, const unsigned char *input, unsigned char *output )",3,3,2,1,0,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\cipher_wrap.c,"camellia_crypt_cbc_wrap( void *ctx, mbedtls_operation_t operation, size_t length, unsigned char *iv, const unsigned char *input, unsigned char *output )",3,3,2,1,0,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\cipher_wrap.c,"camellia_crypt_cfb128_wrap( void *ctx, mbedtls_operation_t operation, size_t length, size_t *iv_off, unsigned char *iv, const unsigned char *input, unsigned char *output )",3,3,2,1,0,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\cipher_wrap.c,"camellia_crypt_ctr_wrap( void *ctx, size_t length, size_t *nc_off, unsigned char *nonce_counter, unsigned char *stream_block, const unsigned char *input, unsigned char *output )",3,3,2,1,0,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\cipher_wrap.c,"camellia_setkey_dec_wrap( void *ctx, const unsigned char *key, unsigned int key_bitlen )",2,2,2,1,0,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\cipher_wrap.c,"camellia_setkey_enc_wrap( void *ctx, const unsigned char *key, unsigned int key_bitlen )",2,2,2,1,0,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\cipher_wrap.c,camellia_ctx_alloc( void ),10,7,6,3,3,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\cipher_wrap.c,camellia_ctx_free( void *ctx ),3,3,3,0,0,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\cipher_wrap.c,"gcm_camellia_setkey_wrap( void *ctx, const unsigned char *key, unsigned int key_bitlen )",3,3,2,1,0,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\cipher_wrap.c,"ccm_camellia_setkey_wrap( void *ctx, const unsigned char *key, unsigned int key_bitlen )",3,3,2,1,0,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\cipher_wrap.c,"des_crypt_ecb_wrap( void *ctx, mbedtls_operation_t operation, const unsigned char *input, unsigned char *output )",3,3,3,1,0,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\cipher_wrap.c,"des3_crypt_ecb_wrap( void *ctx, mbedtls_operation_t operation, const unsigned char *input, unsigned char *output )",3,3,3,1,0,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\cipher_wrap.c,"des_crypt_cbc_wrap( void *ctx, mbedtls_operation_t operation, size_t length, unsigned char *iv, const unsigned char *input, unsigned char *output )",3,3,2,1,0,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\cipher_wrap.c,"des3_crypt_cbc_wrap( void *ctx, mbedtls_operation_t operation, size_t length, unsigned char *iv, const unsigned char *input, unsigned char *output )",3,3,2,1,0,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\cipher_wrap.c,"des_setkey_dec_wrap( void *ctx, const unsigned char *key, unsigned int key_bitlen )",4,3,3,1,1,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\cipher_wrap.c,"des_setkey_enc_wrap( void *ctx, const unsigned char *key, unsigned int key_bitlen )",4,3,3,1,1,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\cipher_wrap.c,"des3_set2key_dec_wrap( void *ctx, const unsigned char *key, unsigned int key_bitlen )",4,3,3,1,1,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\cipher_wrap.c,"des3_set2key_enc_wrap( void *ctx, const unsigned char *key, unsigned int key_bitlen )",4,3,3,1,1,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\cipher_wrap.c,"des3_set3key_dec_wrap( void *ctx, const unsigned char *key, unsigned int key_bitlen )",4,3,3,1,1,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\cipher_wrap.c,"des3_set3key_enc_wrap( void *ctx, const unsigned char *key, unsigned int key_bitlen )",4,3,3,1,1,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\cipher_wrap.c,des_ctx_alloc( void ),9,6,5,3,3,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\cipher_wrap.c,des_ctx_free( void *ctx ),3,3,3,0,0,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\cipher_wrap.c,des3_ctx_alloc( void ),10,7,6,3,3,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\cipher_wrap.c,des3_ctx_free( void *ctx ),3,3,3,0,0,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\cipher_wrap.c,"blowfish_crypt_ecb_wrap( void *ctx, mbedtls_operation_t operation, const unsigned char *input, unsigned char *output )",3,3,2,1,0,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\cipher_wrap.c,"blowfish_crypt_cbc_wrap( void *ctx, mbedtls_operation_t operation, size_t length, unsigned char *iv, const unsigned char *input, unsigned char *output )",3,3,2,1,0,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\cipher_wrap.c,"blowfish_crypt_cfb64_wrap( void *ctx, mbedtls_operation_t operation, size_t length, size_t *iv_off, unsigned char *iv, const unsigned char *input, unsigned char *output )",3,3,2,1,0,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\cipher_wrap.c,"blowfish_crypt_ctr_wrap( void *ctx, size_t length, size_t *nc_off, unsigned char *nonce_counter, unsigned char *stream_block, const unsigned char *input, unsigned char *output )",3,3,2,1,0,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\cipher_wrap.c,"blowfish_setkey_wrap( void *ctx, const unsigned char *key, unsigned int key_bitlen )",2,2,2,1,0,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\cipher_wrap.c,blowfish_ctx_alloc( void ),10,7,6,3,3,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\cipher_wrap.c,blowfish_ctx_free( void *ctx ),3,3,3,0,0,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\cipher_wrap.c,"arc4_crypt_stream_wrap( void *ctx, size_t length, const unsigned char *input, unsigned char *output )",2,2,2,1,0,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\cipher_wrap.c,"arc4_setkey_wrap( void *ctx, const unsigned char *key, unsigned int key_bitlen )",7,5,4,3,1,0,1,11,
E:\LiberoProjects\HSM\HSM\mbedtls\library\cipher_wrap.c,arc4_ctx_alloc( void ),10,7,6,3,3,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\cipher_wrap.c,arc4_ctx_free( void *ctx ),3,3,3,0,0,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\cipher_wrap.c,"null_crypt_stream( void *ctx, size_t length, const unsigned char *input, unsigned char *output )",4,4,4,1,0,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\cipher_wrap.c,"null_setkey( void *ctx, const unsigned char *key, unsigned int key_bitlen )",6,5,5,1,1,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\cipher_wrap.c,null_ctx_alloc( void ),2,2,2,1,0,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\cipher_wrap.c,null_ctx_free( void *ctx ),2,2,2,0,0,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\cmac.c,"mbedtls_zeroize( void *v, size_t n )",2,2,2,0,0,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\cmac.c,"cmac_multiply_by_u( unsigned char *output, const unsigned char *input, size_t blocksize )",43,33,18,4,6,0,4,42,
E:\LiberoProjects\HSM\HSM\mbedtls\library\cmac.c,"cmac_generate_subkeys( mbedtls_cipher_context_t *ctx, unsigned char* K1, unsigned char* K2 )",26,15,11,4,7,0,4,9,
E:\LiberoProjects\HSM\HSM\mbedtls\library\cmac.c,"cmac_xor_block( unsigned char *output, const unsigned char *input1, const unsigned char *input2, const size_t block_size )",5,4,3,1,1,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\cmac.c,"cmac_pad( unsigned char padded_block[MBEDTLS_CIPHER_BLKSIZE_MAX], size_t padded_block_len, const unsigned char *last_block, size_t last_block_len )",12,11,6,2,1,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\cmac.c,"mbedtls_cipher_cmac_starts( mbedtls_cipher_context_t *ctx, const unsigned char *key, size_t keybits )",36,26,15,10,8,0,2,14,
E:\LiberoProjects\HSM\HSM\mbedtls\library\cmac.c,"mbedtls_cipher_cmac_update( mbedtls_cipher_context_t *ctx, const unsigned char *input, size_t ilen )",64,46,27,8,12,0,6,62,
E:\LiberoProjects\HSM\HSM\mbedtls\library\cmac.c,"mbedtls_cipher_cmac_finish( mbedtls_cipher_context_t *ctx, unsigned char *output )",57,42,31,5,11,0,4,28,
E:\LiberoProjects\HSM\HSM\mbedtls\library\cmac.c,mbedtls_cipher_cmac_reset( mbedtls_cipher_context_t *ctx ),16,11,8,3,4,0,1,5,
E:\LiberoProjects\HSM\HSM\mbedtls\library\cmac.c,"mbedtls_cipher_cmac( const mbedtls_cipher_info_t *cipher_info, const unsigned char *key, size_t keylen, const unsigned char *input, size_t ilen, unsigned char *output )",26,18,13,6,8,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\cmac.c,"mbedtls_aes_cmac_prf_128( const unsigned char *key, size_t key_length, const unsigned char *input, size_t in_len, unsigned char *output )",39,30,19,6,7,0,2,17,
E:\LiberoProjects\HSM\HSM\mbedtls\library\cmac.c,"cmac_test_subkeys( int verbose, const char* testname, const unsigned char* key, int keybits, const unsigned char* subkeys, mbedtls_cipher_type_t cipher_type, int block_size, int num_tests )",69,52,30,14,16,0,1,12,
E:\LiberoProjects\HSM\HSM\mbedtls\library\cmac.c,"cmac_test_wth_cipher( int verbose, const char* testname, const unsigned char* key, int keybits, const unsigned char* messages, const unsigned int message_lengths[4], const unsigned char* expected_result, mbedtls_cipher_type_t cipher_type, int block_size, int num_tests )",39,32,18,9,6,0,1,12,
E:\LiberoProjects\HSM\HSM\mbedtls\library\cmac.c,test_aes128_cmac_prf( int verbose ),24,21,13,5,3,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\cmac.c,mbedtls_cmac_self_test( int verbose ),151,133,25,24,13,3,5,20,
E:\LiberoProjects\HSM\HSM\mbedtls\library\ctr_drbg.c,"mbedtls_zeroize( void *v, size_t n )",2,2,2,0,0,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\ctr_drbg.c,mbedtls_ctr_drbg_init( mbedtls_ctr_drbg_context *ctx ),6,5,3,0,1,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\ctr_drbg.c,"mbedtls_ctr_drbg_seed_entropy_len( mbedtls_ctr_drbg_context *ctx, int (*f_entropy)(void *, unsigned char *, size_t), void *p_entropy, const unsigned char *custom, size_t len, size_t entropy_len )",23,13,12,3,7,0,3,7,
E:\LiberoProjects\HSM\HSM\mbedtls\library\ctr_drbg.c,"mbedtls_ctr_drbg_seed( mbedtls_ctr_drbg_context *ctx, int (*f_entropy)(void *, unsigned char *, size_t), void *p_entropy, const unsigned char *custom, size_t len )",3,3,2,1,0,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\ctr_drbg.c,mbedtls_ctr_drbg_free( mbedtls_ctr_drbg_context *ctx ),9,8,5,1,1,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\ctr_drbg.c,"mbedtls_ctr_drbg_set_prediction_resistance( mbedtls_ctr_drbg_context *ctx, int resistance )",2,2,2,0,0,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\ctr_drbg.c,"mbedtls_ctr_drbg_set_entropy_len( mbedtls_ctr_drbg_context *ctx, size_t len )",2,2,2,0,0,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\ctr_drbg.c,"mbedtls_ctr_drbg_set_reseed_interval( mbedtls_ctr_drbg_context *ctx, int interval )",2,2,2,0,0,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\ctr_drbg.c,"block_cipher_df( unsigned char *output, const unsigned char *data, size_t data_len )",86,54,44,8,16,0,16,72,
E:\LiberoProjects\HSM\HSM\mbedtls\library\ctr_drbg.c,"ctr_drbg_update_internal( mbedtls_ctr_drbg_context *ctx, const unsigned char data[MBEDTLS_CTR_DRBG_SEEDLEN] )",34,18,13,6,7,0,9,15,
E:\LiberoProjects\HSM\HSM\mbedtls\library\ctr_drbg.c,"mbedtls_ctr_drbg_update( mbedtls_ctr_drbg_context *ctx, const unsigned char *additional, size_t add_len )",13,9,6,2,2,0,2,20,
E:\LiberoProjects\HSM\HSM\mbedtls\library\ctr_drbg.c,"mbedtls_ctr_drbg_reseed( mbedtls_ctr_drbg_context *ctx, const unsigned char *additional, size_t len )",42,22,15,6,8,0,12,25,
E:\LiberoProjects\HSM\HSM\mbedtls\library\ctr_drbg.c,"mbedtls_ctr_drbg_random_with_add( void *p_rng, unsigned char *output, size_t output_len, const unsigned char *additional, size_t add_len )",61,40,27,13,12,0,9,16,
E:\LiberoProjects\HSM\HSM\mbedtls\library\ctr_drbg.c,"mbedtls_ctr_drbg_random( void *p_rng, unsigned char *output, size_t output_len )",17,13,7,5,4,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\ctr_drbg.c,"mbedtls_ctr_drbg_write_seed_file( mbedtls_ctr_drbg_context *ctx, const char *path )",22,17,12,5,5,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\ctr_drbg.c,"mbedtls_ctr_drbg_update_seed_file( mbedtls_ctr_drbg_context *ctx, const char *path )",29,22,17,7,7,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\ctr_drbg.c,"ctr_drbg_self_test_entropy( void *data, unsigned char *buf, size_t len )",5,5,5,1,0,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\ctr_drbg.c,mbedtls_ctr_drbg_self_test( int verbose ),50,32,25,6,12,0,6,24,
E:\LiberoProjects\HSM\HSM\mbedtls\library\debug.c,mbedtls_debug_set_threshold( int threshold ),2,2,2,0,0,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\debug.c,"debug_send_line( const mbedtls_ssl_context *ssl, int level, const char *file, int line, const char *str )",13,8,5,0,0,1,5,46,
E:\LiberoProjects\HSM\HSM\mbedtls\library\debug.c,"mbedtls_debug_print_msg( const mbedtls_ssl_context *ssl, int level, const char *file, int line, const char *format, ... )",32,28,17,3,4,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\debug.c,"mbedtls_debug_print_ret( const mbedtls_ssl_context *ssl, int level, const char *file, int line, const char *text, int ret )",18,9,6,2,4,0,5,33,
E:\LiberoProjects\HSM\HSM\mbedtls\library\debug.c,"mbedtls_debug_print_buf( const mbedtls_ssl_context *ssl, int level, const char *file, int line, const char *text, const unsigned char *buf, size_t len )",49,38,24,8,11,1,0,4,
E:\LiberoProjects\HSM\HSM\mbedtls\library\debug.c,"mbedtls_debug_print_ecp( const mbedtls_ssl_context *ssl, int level, const char *file, int line, const char *text, const mbedtls_ecp_point *X )",11,8,7,1,3,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\debug.c,"mbedtls_debug_print_mpi( const mbedtls_ssl_context *ssl, int level, const char *file, int line, const char *text, const mbedtls_mpi *X )",57,44,25,14,13,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\debug.c,"debug_print_pk( const mbedtls_ssl_context *ssl, int level, const char *file, int line, const char *text, const mbedtls_pk_context *pk )",33,28,15,5,5,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\debug.c,"debug_print_line_by_line( const mbedtls_ssl_context *ssl, int level, const char *file, int line, const char *text )",21,17,12,3,4,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\debug.c,"mbedtls_debug_print_crt( const mbedtls_ssl_context *ssl, int level, const char *file, int line, const char *text, const mbedtls_x509_crt *crt )",21,15,12,2,6,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\des.c,"mbedtls_zeroize( void *v, size_t n )",2,2,2,0,0,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\des.c,"SWAP(a,b)",1,1,1,0,0,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\des.c,mbedtls_des_init( mbedtls_des_context *ctx ),2,2,2,0,0,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\des.c,mbedtls_des_free( mbedtls_des_context *ctx ),5,4,3,1,1,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\des.c,mbedtls_des3_init( mbedtls_des3_context *ctx ),2,2,2,0,0,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\des.c,mbedtls_des3_free( mbedtls_des3_context *ctx ),5,4,3,1,1,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\des.c,mbedtls_des_key_set_parity( unsigned char key[MBEDTLS_DES_KEY_SIZE] ),5,4,3,1,1,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\des.c,mbedtls_des_key_check_key_parity( const unsigned char key[MBEDTLS_DES_KEY_SIZE] ),8,6,4,4,2,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\des.c,mbedtls_des_key_check_weak( const unsigned char key[MBEDTLS_DES_KEY_SIZE] ),8,6,4,4,2,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\des.c,"mbedtls_des_setkey( uint32_t SK[32], const unsigned char key[MBEDTLS_DES_KEY_SIZE] )",66,52,20,2,8,0,6,9,
E:\LiberoProjects\HSM\HSM\mbedtls\library\des.c,"mbedtls_des_setkey_enc( mbedtls_des_context *ctx, const unsigned char key[MBEDTLS_DES_KEY_SIZE] )",4,3,3,1,1,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\des.c,"mbedtls_des_setkey_dec( mbedtls_des_context *ctx, const unsigned char key[MBEDTLS_DES_KEY_SIZE] )",12,9,7,2,3,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\des.c,"des3_set2key( uint32_t esk[96], uint32_t dsk[96], const unsigned char key[MBEDTLS_DES_KEY_SIZE*2] )",20,15,13,1,5,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\des.c,"mbedtls_des3_set2key_enc( mbedtls_des3_context *ctx, const unsigned char key[MBEDTLS_DES_KEY_SIZE * 2] )",7,5,5,1,2,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\des.c,"mbedtls_des3_set2key_dec( mbedtls_des3_context *ctx, const unsigned char key[MBEDTLS_DES_KEY_SIZE * 2] )",7,5,5,1,2,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\des.c,"des3_set3key( uint32_t esk[96], uint32_t dsk[96], const unsigned char key[24] )",18,14,12,1,4,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\des.c,"mbedtls_des3_set3key_enc( mbedtls_des3_context *ctx, const unsigned char key[MBEDTLS_DES_KEY_SIZE * 3] )",7,5,5,1,2,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\des.c,"mbedtls_des3_set3key_dec( mbedtls_des3_context *ctx, const unsigned char key[MBEDTLS_DES_KEY_SIZE * 3] )",7,5,5,1,2,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\des.c,"mbedtls_des_crypt_ecb( mbedtls_des_context *ctx, const unsigned char input[8], unsigned char output[8] )",23,16,14,2,7,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\des.c,"mbedtls_des_crypt_cbc( mbedtls_des_context *ctx, int mode, size_t length, unsigned char iv[8], const unsigned char *input, unsigned char *output )",41,33,22,8,8,1,0,2,
E:\LiberoProjects\HSM\HSM\mbedtls\library\des.c,"mbedtls_des3_crypt_ecb( mbedtls_des3_context *ctx, const unsigned char input[8], unsigned char output[8] )",35,26,20,4,9,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\des.c,"mbedtls_des3_crypt_cbc( mbedtls_des3_context *ctx, int mode, size_t length, unsigned char iv[8], const unsigned char *input, unsigned char *output )",41,33,22,8,8,1,0,2,
E:\LiberoProjects\HSM\HSM\mbedtls\library\des.c,mbedtls_des_self_test( int verbose ),186,145,80,36,35,1,6,10,
E:\LiberoProjects\HSM\HSM\mbedtls\library\dhm.c,"mbedtls_zeroize( void *v, size_t n )",2,2,2,0,0,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\dhm.c,"dhm_read_bignum( mbedtls_mpi *X, unsigned char **p, const unsigned char *end )",18,12,9,7,6,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\dhm.c,"dhm_check_range( const mbedtls_mpi *param, const mbedtls_mpi *P )",18,14,10,2,4,0,0,0,
E:\LiberoProjects\HSM\HSM\mbedtls\library\dhm.c,mbedtls_dhm_init( mbedtls_dhm_context *ctx ),2,2,2,0,0,0,0,0,
